"cobalt blue","#030aa7"
"neon pink","#fe019a"
"rose pink","#f7879a"
"greyish purple","#887191"
"raspberry red","#b00149"
"aqua green","#12e193"
"salmon pink","#fe7b7c"
"tangerine orange","#ff9408"
"murky olive green","#6a6e09"
"red brown","#8b2e16"
"muddy olive green","#696112"
"pumpkin orange","#e17701"
"pine green","#0a481e"
"charcoal","#343837"
"baby pink","#ffb7ce"
"cornflower blue","#6a79f7"
"blue violet","#5d06e9"
"chocolate brown","#3d1c02"
"muted sage","#82a67d"
"scarlet red","#be0119"
"lime chartreuse","#c9ff27"
"deep olive","#373e02"
"sienna brown","#a9561e"
"pastel purple","#caa0ff"
"terracotta red","#ca6641"
"aqua blue","#02d8e9"
"sage green","#88b378"
"dark crimson","#980002"
"soft rose pink","#cb0162"
"medium leaf green","#5cac2d"
"muted moss green","#769958"
"pastel blue","#a2bffe"
"jade aqua","#10a674"
"teal green","#06b48b"
"dark tan","#af884a"
"deep aqua","#0b8b87"
"pale orange","#ffa756"
"dull yellow-green","#a2a415"
"forest green","#154406"
"dark lavender","#856798"
"dark violet","#34013f"
"purple blue","#632de9"
"dark cyan","#0a888a"
"olive drab","#6f7632"
"soft coral pink","#d46a7e"
"cobalt blue","#1e488f"
"electric violet","#bc13fe"
"light turquoise","#7ef4cc"
"apple green","#76cd26"
"dull green","#74a662"
"wine red","#80013f"
"powder blue","#b1d1fc"
"off white","#ffffe4"
"electric blue","#0652ff"
"dark turquoise","#045c5a"
"blue purple","#5729ce"
"azure blue","#069af3"
"bright red","#ff000d"
"hot rose red","#f10c45"
"cornflower blue","#5170d7"
"light olive","#acbf69"
"grape purple","#6c3461"
"greyish blue","#5e819d"
"electric violet","#601ef9"
"chartreuse lime","#b0dd16"
"lime yellow","#cdfd02"
"medium blue","#2c6fbb"
"dusty rose","#c0737a"
"light violet","#d6b4fc"
"midnight blue","#020035"
"vivid indigo violet","#703be7"
"red orange","#fd3c06"
"dark magenta","#960056"
"soft jade green","#40a368"
"ocean blue","#03719c"
"coral pink","#fc5a50"
"cream yellow","#ffffc2"
"rust brown","#7f2b0a"
"burnt sienna","#b04e0f"
"brick red","#a03623"
"sage green","#87ae73"
"grey green","#789b73"
"white","#ffffff"
"robin's egg blue","#98eff9"
"moss green","#658b38"
"steel blue","#5a7d9a"
"eggplant purple","#380835"
"light yellow","#fffe7a"
"leaf green","#5ca904"
"light grey","#d8dcd6"
"muddy chartreuse green","#a5a502"
"vibrant lavender magenta","#d648d7"
"sea blue","#047495"
"pale purple","#b790d4"
"slate blue","#5b7c99"
"slate blue-grey","#607c8e"
"hunter green","#0b4008"
"fuchsia","#ed0dd9"
"crimson","#8c000f"
"pale yellow","#ffff84"
"ochre yellow","#bf9005"
"mustard yellow","#d2bd0a"
"light red","#ff474c"
"cerulean","#0485d1"
"pale pink","#ffcfdc"
"deep blue","#040273"
"rust orange","#a83c09"
"light teal","#90e4c1"
"slate gray","#516572"
"goldenrod","#fac205"
"dark yellow","#d5b60a"
"dark grey","#363737"
"army green","#4b5d16"
"grey blue","#6b8ba4"
"seafoam","#80f9ad"
"puce brown","#a57e52"
"spring green","#a9f971"
"dark orange","#c65102"
"sand beige","#e2ca76"
"pastel green","#b0ff9d"
"mint green","#9ffeb0"
"light orange","#fdaa48"
"bright pink","#fe01b1"
"chartreuse","#c1f80a"
"deep purple","#36013f"
"dark brown","#341c02"
"taupe brown","#b9a281"
"olive lime","#8eab12"
"dirty chartreuse green","#9aae07"
"kelly green","#02ab2e"
"seafoam green","#7af9ab"
"deep teal","#137e6d"
"khaki","#aaa662"
"burgundy","#610023"
"dark teal","#014d4e"
"brick red","#8f1402"
"royal purple","#4b006e"
"plum purple","#580f41"
"mint green","#8fff9f"
"gold","#dbb40c"
"soft sky blue","#a2cffe"
"chartreuse yellow","#c0fb2d"
"bright purple","#be03fd"
"dark red","#840000"
"pale blue","#d0fefe"
"grass green","#3f9b0b"
"navy blue","#01153e"
"aquamarine","#04d8b2"
"burnt orange","#c04e01"
"neon green","#0cff0c"
"bright blue","#0165fc"
"rose pink","#cf6275"
"light pink","#ffd1df"
"mustard","#ceb301"
"indigo blue","#380282"
"bright lime","#aaff32"
"sea green","#53fca1"
"periwinkle blue","#8e82fe"
"dark pink","#cb416b"
"olive green","#677a04"
"peach orange","#ffb07c"
"pale green","#c7fdb5"
"light brown","#ad8150"
"hot pink","#ff028d"
"black","#000000"
"lilac purple","#cea2fd"
"navy blue","#001146"
"royal blue","#0504aa"
"beige","#e6daa6"
"salmon pink","#ff796c"
"dark olive","#6e750e"
"maroon","#650021"
"bright green","#01ff07"
"dark purple","#35063e"
"mauve pink","#ae7181"
"forest green","#06470c"
"vivid aqua blue","#13eac9"
"electric cyan","#00ffff"
"light sandy brown","#d1b26f"
"dark blue","#00035b"
"lavender purple","#c79fef"
"turquoise","#06c2ac"
"dark green","#033500"
"violet","#9a0eea"
"light purple","#bf77f6"
"lime green","#89fe05"
"grey","#929591"
"sky blue","#75bbfd"
"yellow","#ffff14"
"magenta","#c20078"
"light green","#96f97b"
"orange","#f97306"
"dark teal","#029386"
"light blue","#95d0fc"
"red","#e50000"
"brown","#653700"
"pink","#ff81c0"
"blue","#0343df"
"green","#15b01a"
"purple","#7e1e9c"
